nombre	tipo	coords	direccion	puntaje	resenas	horarios_semana
Chamuyo Comedor	Restaurante	{'lat': -32.9354065, 'lng': -60.6584142}	Callao 192, S2000 Rosario, Santa Fe, Argentina	4.6	1707	{'Lunes': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '02:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '02:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '17:00'}, {'apertura': '20:00', 'cierre': '00:00'}]}
Albahaca Restó.	Restaurante	{'lat': -32.9480772, 'lng': -60.6502147}	Dorrego 1098, S2000 Rosario, Santa Fe, Argentina	4.4	1629	{'Lunes': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '10:30', 'cierre': '15:00'}]}
Rock&Feller's Bv. Oroño	Restaurante	{'lat': -32.9356099, 'lng': -60.65147400000001}	Blvd. Oroño 106, S2000DSO Rosario, Santa Fe, Argentina	4.5	29610	{'Lunes': [{'apertura': '07:30', 'cierre': '02:00'}], 'Martes': [{'apertura': '07:30', 'cierre': '02:00'}], 'Miércoles': [{'apertura': '07:30', 'cierre': '02:00'}], 'Jueves': [{'apertura': '07:30', 'cierre': '03:00'}], 'Viernes': [{'apertura': '07:30', 'cierre': '03:00'}], 'Sábado': [{'apertura': '07:30', 'cierre': '03:00'}], 'Domingo': [{'apertura': '08:00', 'cierre': '02:00'}]}
Rock&Feller's Savoy	Restaurante	{'lat': -32.9446607, 'lng': -60.63625799999999}	San Lorenzo 1022, S2000 Rosario, Santa Fe, Argentina	4.6	4013	{'Lunes': [{'apertura': '07:30', 'cierre': '02:00'}], 'Martes': [{'apertura': '07:30', 'cierre': '02:00'}], 'Miércoles': [{'apertura': '07:30', 'cierre': '02:00'}], 'Jueves': [{'apertura': '07:30', 'cierre': '02:00'}], 'Viernes': [{'apertura': '07:30', 'cierre': '02:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '03:00'}], 'Domingo': [{'apertura': '08:00', 'cierre': '02:00'}]}
La Cambicha	Restaurante	{'lat': -32.9389737, 'lng': -60.6877281}	Gutenberg 910, S2002 Rosario, Santa Fe, Argentina	4.5	1017	{'Lunes': [{'apertura': '10:00', 'cierre': '15:00'}], 'Martes': [{'apertura': '10:00', 'cierre': '15:00'}], 'Miércoles': [{'apertura': '10:00', 'cierre': '15:00'}], 'Jueves': [{'apertura': '10:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '10:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '10:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Domingo': 'Cerrado'}
María Antonietta	Restaurante	{'lat': -32.9583639, 'lng': -60.64242909999999}	Mitre 1801, S2000FWC Rosario, Santa Fe, Argentina	4.3	1207	{'Lunes': [{'apertura': '08:30', 'cierre': '00:00'}], 'Martes': [{'apertura': '08:30', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '08:30', 'cierre': '00:00'}], 'Jueves': [{'apertura': '08:30', 'cierre': '00:00'}], 'Viernes': [{'apertura': '08:30', 'cierre': '00:00'}], 'Sábado': [{'apertura': '08:30', 'cierre': '00:00'}], 'Domingo': 'Cerrado'}
El Popular Pichincha - Comedor Bodegón	Restaurante	{'lat': -32.9349749, 'lng': -60.6623405}	Salta 2999, S2002JKH Rosario, Santa Fe, Argentina	4.3	4685	{'Lunes': [{'apertura': '08:30', 'cierre': '00:00'}], 'Martes': [{'apertura': '08:30', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '08:30', 'cierre': '00:00'}], 'Jueves': [{'apertura': '08:30', 'cierre': '00:00'}], 'Viernes': [{'apertura': '08:30', 'cierre': '01:00'}], 'Sábado': [{'apertura': '08:30', 'cierre': '01:00'}], 'Domingo': [{'apertura': '08:30', 'cierre': '00:00'}]}
Churrasquería Parrilla Restaurante	Restaurante	{'lat': -32.9387212, 'lng': -60.64794180000001}	Catamarca 1901, S2000 Rosario, Santa Fe, Argentina	4.4	3334	{'Lunes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '19:30', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '19:30', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '19:30', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '19:30', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '19:30', 'cierre': '00:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '19:30', 'cierre': '00:00'}], 'Domingo': 'Cerrado'}
La Fonda	Restaurante	{'lat': -32.9595717, 'lng': -60.64887039999999}	Ituzaingó 1613, S2000 Rosario, Santa Fe, Argentina	4.3	400	{'Lunes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '08:00', 'cierre': '00:00'}]}
Picado Fino.	Restaurante	{'lat': -32.9520757, 'lng': -60.66950969999999}	Av. Pellegrini 3180, S2002QDW Rosario, Santa Fe, Argentina	4.4	4324	{'Lunes': [{'apertura': '11:45', 'cierre': '15:30'}, {'apertura': '19:45', 'cierre': '00:00'}], 'Martes': [{'apertura': '11:45', 'cierre': '15:30'}, {'apertura': '19:45', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '11:45', 'cierre': '15:30'}, {'apertura': '19:45', 'cierre': '00:00'}], 'Jueves': [{'apertura': '11:45', 'cierre': '15:30'}, {'apertura': '19:45', 'cierre': '00:00'}], 'Viernes': [{'apertura': '11:45', 'cierre': '15:30'}, {'apertura': '19:45', 'cierre': '00:00'}], 'Sábado': [{'apertura': '11:45', 'cierre': '16:00'}, {'apertura': '19:45', 'cierre': '00:30'}], 'Domingo': [{'apertura': '11:45', 'cierre': '16:00'}, {'apertura': '19:45', 'cierre': '00:30'}]}
Calixto Café y Bistró	Restaurante	{'lat': -32.9381897, 'lng': -60.65088209999999}	Catamarca 2129, S2000 Rosario, Santa Fe, Argentina	4.6	966	{'Lunes': [{'apertura': '08:00', 'cierre': '20:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '20:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '20:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '20:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '20:00'}], 'Sábado': [{'apertura': '09:00', 'cierre': '15:00'}], 'Domingo': 'Cerrado'}
Nuevo Cid Restaurante y Parrilla	Restaurante	{'lat': -32.9422898, 'lng': -60.6814362}	Río de Janeiro 1082, S2002RNF Rosario, Santa Fe, Argentina	4.4	2336	{'Lunes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}]}
