nombre	tipo	coords	direccion	puntaje	resenas	horarios_semana
Rumo Heladería	Heladería	{'lat': -32.944976, 'lng': -60.63602529999999}	San Lorenzo 999, S2000 Rosario, Santa Fe, Argentina	4.9	130	{'Lunes': [{'apertura': '09:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '09:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '09:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '09:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '10:00', 'cierre': '01:30'}], 'Sábado': [{'apertura': '10:00', 'cierre': '01:30'}], 'Domingo': [{'apertura': '10:00', 'cierre': '00:00'}]}
RIO Helados - Echesortu	Heladería	{'lat': -32.9453389, 'lng': -60.6748671}	Mendoza 3699, S2002PCI Rosario, Santa Fe, Argentina	4.5	3345	{'Lunes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '08:00', 'cierre': '00:00'}]}
Marbet	Heladería	{'lat': -32.9572464, 'lng': -60.6400659}	Av. Pellegrini 1050, S2000BTX Rosario, Santa Fe, Argentina	4.4	2219	{'Lunes': [{'apertura': '11:00', 'cierre': '00:30'}], 'Martes': [{'apertura': '11:00', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '00:30'}], 'Jueves': [{'apertura': '11:00', 'cierre': '00:30'}], 'Viernes': [{'apertura': '11:00', 'cierre': '01:30'}], 'Sábado': [{'apertura': '11:00', 'cierre': '01:30'}], 'Domingo': [{'apertura': '11:00', 'cierre': '00:00'}]}
Lucciano's Alto Rosario	Heladería	{'lat': -32.9267293, 'lng': -60.66930439999999}	Junín 501 Local 54, S2000 Rosario, Santa Fe, Argentina	4.3	969	{'Lunes': [{'apertura': '10:00', 'cierre': '00:30'}], 'Martes': [{'apertura': '10:00', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '10:00', 'cierre': '00:30'}], 'Jueves': [{'apertura': '10:00', 'cierre': '00:30'}], 'Viernes': [{'apertura': '10:00', 'cierre': '01:30'}], 'Sábado': [{'apertura': '10:00', 'cierre': '01:30'}], 'Domingo': [{'apertura': '10:00', 'cierre': '00:30'}]}
RIO Helados - Parque Independencia	Heladería	{'lat': -32.9537248, 'lng': -60.6599697}	Av. Pellegrini 2494, S2000QDP Rosario, Santa Fe, Argentina	4.4	4130	{'Lunes': [{'apertura': '11:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '00:00'}]}
Marbet Helados Gourmet	Heladería	{'lat': -32.9772781, 'lng': -60.64463180000001}	Av. San Martín 3418, S2001RYR Rosario, Santa Fe, Argentina	4.4	2238	{'Lunes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '00:00'}]}
Gianduia Paseo Pellegrini	Heladería	{'lat': -32.9558754, 'lng': -60.64725610000001}	Av. Pellegrini 1560, S2000 Rosario, Santa Fe, Argentina	4.4	1614	{'Lunes': [{'apertura': '08:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '01:30'}], 'Sábado': [{'apertura': '09:00', 'cierre': '01:30'}], 'Domingo': [{'apertura': '09:00', 'cierre': '01:00'}]}
De Buen Humor Heladerias	Heladería	{'lat': -32.9463779, 'lng': -60.644706}	Rioja 1560, S2000AYX Rosario, Santa Fe, Argentina	4.1	748	{'Lunes': [{'apertura': '11:00', 'cierre': '21:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '21:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '21:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '21:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '21:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '22:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '01:00'}]}
Gianduia Gelatería Mercado del patio	Heladería	{'lat': -32.9401366, 'lng': -60.6686464}	Cafferata 729, S2000 Rosario, Santa Fe, Argentina	4.3	361	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '09:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '09:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '09:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '09:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '09:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '09:00', 'cierre': '00:00'}]}
Yomo	Heladería	{'lat': -32.9568957, 'lng': -60.64400070000001}	Av. Pellegrini 1319, S2000BUA Rosario, Santa Fe, Argentina	4.4	6001	{'Lunes': [{'apertura': '10:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '10:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '10:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '10:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '10:00', 'cierre': '01:30'}], 'Sábado': [{'apertura': '10:00', 'cierre': '01:30'}], 'Domingo': [{'apertura': '10:00', 'cierre': '00:00'}]}
Magus heladeria	Heladería	{'lat': -32.9373065, 'lng': -60.66933849999999}	Urquiza 3439, S2000 Rosario, Santa Fe, Argentina	4.2	153	{'Lunes': [{'apertura': '10:00', 'cierre': '23:30'}], 'Martes': [{'apertura': '10:00', 'cierre': '23:30'}], 'Miércoles': [{'apertura': '10:00', 'cierre': '23:30'}], 'Jueves': [{'apertura': '10:00', 'cierre': '23:30'}], 'Viernes': [{'apertura': '10:00', 'cierre': '23:45'}], 'Sábado': [{'apertura': '13:00', 'cierre': '23:45'}], 'Domingo': [{'apertura': '12:00', 'cierre': '23:30'}]}
Marbet	Heladería	{'lat': -32.9331273, 'lng': -60.6474905}	Av. Wheelwright 1983, S2000ACF Rosario, Santa Fe, Argentina	4.3	622	{'Lunes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '00:30'}], 'Sábado': [{'apertura': '10:00', 'cierre': '00:30'}], 'Domingo': [{'apertura': '10:00', 'cierre': '00:30'}]}
"""De Buen Humor"" Helados"	Heladería	{'lat': -32.9554607, 'lng': -60.6522457}	BUG, Av. Pellegrini 1911, S2000BUG Rosario, Santa Fe, Argentina	4.2	3513	{'Lunes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '00:00'}]}
San Remo Helados	Heladería	{'lat': -32.9403292, 'lng': -60.6594078}	San Lorenzo 2695, S2000 Rosario, Santa Fe, Argentina	4.4	2136	{'Lunes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '00:00'}]}
Copacabana	Heladería	{'lat': -32.9413584, 'lng': -60.6457468}	Urquiza 1702, S2000 ANV, Santa Fe, Argentina	4.0	886	{'Lunes': [{'apertura': '08:00', 'cierre': '23:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '23:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '23:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '23:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '23:00'}], 'Sábado': [{'apertura': '10:00', 'cierre': '23:30'}], 'Domingo': [{'apertura': '10:00', 'cierre': '23:30'}]}
Smart Cremas Heladas	Heladería	{'lat': -32.958228, 'lng': -60.648258}	Pres. Roca 1899, S2000GAC Rosario, Santa Fe, Argentina	4.5	290	{'Lunes': [{'apertura': '11:00', 'cierre': '22:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '22:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '22:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '22:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '22:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '22:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '22:00'}]}
Esther Helados	Heladería	{'lat': -32.9393331, 'lng': -60.6435843}	Pres. Roca 291, S2000 CXE, Santa Fe, Argentina	4.1	752	{'Lunes': [{'apertura': '11:00', 'cierre': '00:30'}], 'Martes': [{'apertura': '11:00', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '00:30'}], 'Jueves': [{'apertura': '11:00', 'cierre': '00:30'}], 'Viernes': [{'apertura': '11:00', 'cierre': '00:30'}], 'Sábado': [{'apertura': '11:00', 'cierre': '00:30'}], 'Domingo': [{'apertura': '11:00', 'cierre': '00:30'}]}
Touche de Crème	Heladería	{'lat': -32.9556356, 'lng': -60.6490206}	Av. Pellegrini 1690, S2000BPS Rosario, Santa Fe, Argentina	4.6	1577	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '17:00', 'cierre': '23:00'}], 'Miércoles': [{'apertura': '17:00', 'cierre': '23:00'}], 'Jueves': [{'apertura': '17:00', 'cierre': '23:00'}], 'Viernes': [{'apertura': '17:00', 'cierre': '23:00'}], 'Sábado': [{'apertura': '19:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '10:30', 'cierre': '13:30'}, {'apertura': '19:00', 'cierre': '23:00'}]}
Bajo Cero	Heladería	{'lat': -32.9437147, 'lng': -60.6448866}	Pres. Roca 694, S2000CXN Rosario, Santa Fe, Argentina	4.2	548	{'Lunes': [{'apertura': '10:00', 'cierre': '23:30'}], 'Martes': [{'apertura': '10:00', 'cierre': '23:30'}], 'Miércoles': [{'apertura': '10:00', 'cierre': '23:30'}], 'Jueves': [{'apertura': '10:00', 'cierre': '23:30'}], 'Viernes': [{'apertura': '10:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '10:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '10:00', 'cierre': '23:30'}]}
Heladeria Super Gato	Heladería	{'lat': -32.9653122, 'lng': -60.65507160000001}	Blvd. 27 de Febrero 1944, S2000FBT Rosario, Santa Fe, Argentina	4.4	589	{'Lunes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '02:00'}], 'Domingo': [{'apertura': '08:00', 'cierre': '00:00'}]}
Americo Helados OROÑO	Heladería	{'lat': -32.9358712, 'lng': -60.6510186}	Blvd. Oroño 117, S2000 Rosario, Santa Fe, Argentina	4.0	85	{'Lunes': [{'apertura': '09:30', 'cierre': '00:00'}], 'Martes': [{'apertura': '09:30', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '09:30', 'cierre': '00:30'}], 'Jueves': [{'apertura': '09:30', 'cierre': '00:30'}], 'Viernes': [{'apertura': '09:30', 'cierre': '01:30'}], 'Sábado': [{'apertura': '09:30', 'cierre': '01:30'}], 'Domingo': [{'apertura': '09:30', 'cierre': '00:30'}]}
IKA Helados de Autor - Centro	Heladería	{'lat': -32.9352299, 'lng': -60.6482221}	Mariano Moreno 17, S2000 Rosario, Santa Fe, Argentina	4.5	55	{'Lunes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '23:00', 'cierre': '00:00'}]}
BOCHA - Helados Artesanales	Heladería	{'lat': -32.9409965, 'lng': -60.6427277}	CVJ, Paraguay 412, S2000 Rosario, Santa Fe, Argentina	4.5	1661	{'Lunes': [{'apertura': '17:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '17:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '17:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '17:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '17:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '00:00'}]}
Gelatería Italiana San Remo	Heladería	{'lat': -32.9563946, 'lng': -60.67163739999999}	Av. Pres. Perón 3277, S2000 Rosario, Santa Fe, Argentina	4.7	3114	{'Lunes': [{'apertura': '12:00', 'cierre': '01:30'}], 'Martes': 'Cerrado', 'Miércoles': [{'apertura': '12:00', 'cierre': '01:30'}], 'Jueves': [{'apertura': '12:00', 'cierre': '01:30'}], 'Viernes': [{'apertura': '12:00', 'cierre': '01:30'}], 'Sábado': [{'apertura': '12:00', 'cierre': '01:30'}], 'Domingo': [{'apertura': '12:00', 'cierre': '01:30'}]}
Cumbre Nevada - Mundo Miga ( San Martín 3572 )	Heladería	{'lat': -32.9790074, 'lng': -60.6444479}	Av. San Martín 3572, S2000 Rosario, Santa Fe, Argentina	4.2	80	{'Lunes': [{'apertura': '12:00', 'cierre': '23:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '23:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '23:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '23:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '23:00'}], 'Sábado': [{'apertura': '13:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '11:30', 'cierre': '23:00'}]}
Bajo Cero	Heladería	{'lat': -32.924488, 'lng': -60.6667301}	Vélez Sársfield 264, S2001CEV Rosario, Santa Fe, Argentina	4.3	186	{'Lunes': [{'apertura': '07:30', 'cierre': '15:00'}], 'Martes': [{'apertura': '07:30', 'cierre': '15:00'}], 'Miércoles': [{'apertura': '07:30', 'cierre': '15:00'}], 'Jueves': [{'apertura': '07:30', 'cierre': '15:00'}], 'Viernes': [{'apertura': '07:30', 'cierre': '00:00'}], 'Sábado': 'Cerrado', 'Domingo': 'Cerrado'}
Américo Helados DEL SIGLO	Heladería	{'lat': -32.9446879, 'lng': -60.6483771}	Córdoba 1813, S2000AXC Rosario, Santa Fe, Argentina	4.4	1622	{'Lunes': [{'apertura': '09:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '09:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '09:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '09:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '09:00', 'cierre': '00:30'}], 'Sábado': [{'apertura': '09:00', 'cierre': '00:30'}], 'Domingo': [{'apertura': '09:00', 'cierre': '00:00'}]}
Gianduia Pellegrini	Heladería	{'lat': -32.9581233, 'lng': -60.6373541}	Av. Pellegrini 823, S2000 Rosario, Santa Fe, Argentina	4.3	1821	{'Lunes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '02:00'}], 'Sábado': [{'apertura': '10:00', 'cierre': '02:00'}], 'Domingo': [{'apertura': '10:00', 'cierre': '01:00'}]}
Marbet - Puerto Norte	Heladería	{'lat': -32.9230593, 'lng': -60.6643746}	Carballo 170 Dock Plaza Carballo 170 Dock Plaza, S2000 Rosario, Santa Fe, Argentina	4.2	224	{'Lunes': [{'apertura': '12:00', 'cierre': '00:30'}], 'Martes': [{'apertura': '12:00', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '00:30'}], 'Jueves': [{'apertura': '12:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '02:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '02:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '01:00'}]}
"Salvador ""Maestro Heladero"" Moreno"	Heladería	{'lat': -32.9401029, 'lng': -60.6494528}	Mariano Moreno 441, S2000 DKI, Santa Fe, Argentina	4.6	662	{'Lunes': [{'apertura': '16:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '16:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '16:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '16:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '16:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '00:00'}]}
"Heladería ""Catania"""	Heladería	{'lat': -32.9476135, 'lng': -60.68105359999999}	Bv. Avellaneda, Zeballos &, S2002 Rosario, Santa Fe, Argentina	4.7	10088	{'Lunes': [{'apertura': '12:00', 'cierre': '01:30'}], 'Martes': 'Cerrado', 'Miércoles': [{'apertura': '12:00', 'cierre': '01:30'}], 'Jueves': [{'apertura': '12:00', 'cierre': '01:30'}], 'Viernes': [{'apertura': '12:00', 'cierre': '02:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '02:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '01:30'}]}
Renato Gelateria - Alto Rosario	Heladería	{'lat': -32.927367, 'lng': -60.6682564}	Las Malvinas, S2013 Rosario, Santa Fe, Argentina	3.6	36	{'Lunes': [{'apertura': '12:00', 'cierre': '21:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '21:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '21:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '21:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '23:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '23:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '23:00'}]}
Nipote - Helados de Autor	Heladería	{'lat': -32.9336026, 'lng': -60.65228819999999}	Alvear Bis 40, S2000LCB Rosario, Santa Fe, Argentina	4.4	355	{'Lunes': [{'apertura': '13:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '13:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '13:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '13:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '13:00', 'cierre': '02:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '02:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '00:00'}]}
Smart Cremas Heladas	Heladería	{'lat': -32.9578212, 'lng': -60.63675929999999}	Av. Pellegrini 790, S2000BTU Rosario, Santa Fe, Argentina	4.3	947	{'Lunes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '02:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '02:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '01:00'}]}
Negretto Helados	Heladería	{'lat': -32.9417248, 'lng': -60.65071460000001}	San Lorenzo 2052, S2000 Rosario, Santa Fe, Argentina	4.1	140	{'Lunes': [{'apertura': '17:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '17:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '17:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '17:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '17:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '00:00'}]}
Esther Helados	Heladería	{'lat': -32.9442559, 'lng': -60.66184000000001}	Av. Ovidio Lagos 957, S2000QLC Rosario, Santa Fe, Argentina	4.0	1042	{'Lunes': [{'apertura': '11:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '00:00'}]}
Enola Gelato	Heladería	{'lat': -32.9355735, 'lng': -60.6518069}	Jujuy 2235, S2000 Rosario, Santa Fe, Argentina	4.1	237	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '18:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '18:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '18:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '18:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '13:00', 'cierre': '02:30'}], 'Domingo': [{'apertura': '13:00', 'cierre': '00:30'}]}
Cumbre Nevada	Heladería	{'lat': -32.9573319, 'lng': -60.6417468}	BTL, Av. Pellegrini 1165, S2000 Rosario, Santa Fe, Argentina	3.6	1399	{'Lunes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '02:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '03:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '03:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '02:00'}]}
Kapricho's	Heladería	{'lat': -32.937474, 'lng': -60.688893}	Córdoba 4803, S2002LBH Rosario, Santa Fe, Argentina	4.3	67	{'Lunes': [{'apertura': '07:00', 'cierre': '02:00'}], 'Martes': [{'apertura': '07:00', 'cierre': '02:00'}], 'Miércoles': [{'apertura': '07:00', 'cierre': '02:00'}], 'Jueves': [{'apertura': '07:00', 'cierre': '02:00'}], 'Viernes': [{'apertura': '07:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '07:00', 'cierre': '21:00'}], 'Domingo': 'Cerrado'}
Smart Cremas Heladas	Heladería	{'lat': -32.9478167, 'lng': -60.6599271}	Mendoza 2598, S2000PBH Rosario, Santa Fe, Argentina	4.0	372	{'Lunes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '01:00'}]}
Heladería Yomo	Heladería	{'lat': -32.954397, 'lng': -60.64589929999999}	Paraguay 1537, S2000 Rosario, Santa Fe, Argentina	4.4	2427	{'Lunes': [{'apertura': '10:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '10:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '10:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '10:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '10:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '10:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '10:00', 'cierre': '01:00'}]}
Yomo	Heladería	{'lat': -32.958168, 'lng': -60.6340455}	Av. Pellegrini 604, S2000 Rosario, Santa Fe, Argentina	4.4	3040	{'Lunes': [{'apertura': '11:00', 'cierre': '00:30'}], 'Martes': [{'apertura': '11:00', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '00:30'}], 'Jueves': [{'apertura': '11:00', 'cierre': '00:30'}], 'Viernes': [{'apertura': '11:00', 'cierre': '01:30'}], 'Sábado': [{'apertura': '11:00', 'cierre': '01:30'}], 'Domingo': [{'apertura': '11:00', 'cierre': '01:30'}]}
RIO Helados - La Favorita	Heladería	{'lat': -32.9465215, 'lng': -60.63836079999999}	Sarmiento 802, S2000 Rosario, Santa Fe, Argentina	4.5	70	{'Lunes': [{'apertura': '10:00', 'cierre': '20:00'}], 'Martes': [{'apertura': '10:00', 'cierre': '20:00'}], 'Miércoles': [{'apertura': '10:00', 'cierre': '20:00'}], 'Jueves': [{'apertura': '10:00', 'cierre': '20:00'}], 'Viernes': [{'apertura': '10:00', 'cierre': '20:00'}], 'Sábado': [{'apertura': '10:00', 'cierre': '20:00'}], 'Domingo': 'Cerrado'}
Renato Heladeria - Centro	Heladería	{'lat': -32.9542762, 'lng': -60.6503956}	Italia 1594, S2000 Rosario, Santa Fe, Argentina	3.8	52	{'Lunes': [{'apertura': '12:00', 'cierre': '00:30'}], 'Martes': [{'apertura': '12:00', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '00:30'}], 'Jueves': [{'apertura': '12:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '02:30'}], 'Sábado': [{'apertura': '11:00', 'cierre': '02:30'}], 'Domingo': [{'apertura': '11:00', 'cierre': '00:30'}]}
Smart | Cremas Heladas	Heladería	{'lat': -32.9550618, 'lng': -60.6762464}	IPH, San Nicolás 2050 Oeste, S2003 Rosario, Santa Fe, Argentina	4.4	316	{'Lunes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '01:00'}]}
